UID,Age,RenovAge,Distance,IsRenovated,AgeSq,InteractionAgeDistance,LogInteraction,SubType,AdCreationAge,AskingPricePerSqm,SquareMeters,LandplotSize,NoView,ViewForest,ViewMountain,ViewSea,ViewUnlimited,NoFacade,FacadeCorner,FacadeFrontage,FacadeInterior,FacadeThrough,HeatType,HeatFrom,EnergyPerformance,WC,AC,Elevator,Parking,StorageRoom,AluminumFrames,Bedrooms,Pool,Garden,FloorLevel,FloorCount,GeoLat,GeoLon,ZoneValue,MarketabillityFactor,AskingPrice,AdminName
property_01KN75AWE4AD3N3GR6Y53DJ203,2,2,0,0,4,0,0,apartment,8,15,80,80,0,0,0,0,0,0,0,1,0,1,autonomous_individual,,Β,1,1,0,1,0,1,2,0,0,3,1,37.9522378,23.6439862,1200,1,0,Περιφερειακή Ενότητα Πειραιώς
property_01KP5VP17PYKZCKEYW4DZSSFAP,2,2,0,0,4,0,0,apartment,5,14.705882352941176,85,85,0,0,0,0,0,0,0,0,0,1,autonomous_individual,natural_gas,Γ,1,1,0,1,0,0,3,0,0,5,1,37.9583468,23.7278244,1800,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VWMMB77DR1R80E1CCWQ7T,2,2,0,0,4,0,0,apartment,1,20.76923076923077,65,65,0,0,0,0,0,0,1,0,0,1,autonomous_central,electricity,Β,1,0,0,0,0,1,1,0,0,1,1,37.9649825,23.7277091,1800,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KR3VMJWM6CMQVV01EAQE9MMT,2,2,0,0,4,0,0,apartment,0,28.40909090909091,176,176,0,0,0,0,0,0,1,1,0,1,autonomous_central,,Α+,2,1,0,0,0,1,2,1,0,2,1,37.9670994,23.7371244,2200,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5TX0CJ0WCQAHHM6GJBWZW2,2,2,0,0,4,0,0,apartment,23,28.40909090909091,176,176,0,0,0,0,0,0,0,1,0,0,,,Α,1,1,0,0,0,1,2,1,0,2,1,37.967902,23.7371657,2200,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5W486T8N83070ND1CCXXD1,2,2,0,0,4,0,0,apartment,1,19.166666666666668,60,60,0,0,0,0,0,0,0,1,0,0,autonomous_central,,Α+,1,1,0,0,0,1,1,0,1,2,1,37.9771726,23.7110495,2000,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5W486X8P4437677SVY7PJV,2,2,0,0,4,0,0,apartment,1,20,60,60,0,0,0,0,0,0,0,1,0,0,autonomous_central,,Α+,1,1,0,0,0,1,1,0,1,5,1,37.9771726,23.7110495,2000,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5W48708AVX3YP5YT1023N2,2,2,0,0,4,0,0,apartment,1,18.333333333333332,60,60,0,0,0,0,0,0,0,1,0,0,autonomous_central,,Α+,1,1,0,0,0,1,1,0,1,1,1,37.9771726,23.7110495,2000,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5V9ET48EER212XT46Z9WGT,2,2,0,0,4,0,0,apartment,17,24.50980392156863,102,102,0,1,0,0,0,0,0,0,0,0,,,Β,0,1,0,0,0,0,2,0,0,1,1,37.9785354,23.7430922,4250,3,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VKPNVASXY0PR446EKCWW6,2,2,0,0,4,0,0,maisonette,3,17.010309278350515,97,97,0,0,0,0,0,0,0,1,0,1,autonomous_individual,electricity,Β,1,0,0,0,0,1,1,0,0,2,2,37.9803074,23.7101644,2000,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5W486VAC6HTW1CZ0EB36TH,2,2,0,0,4,0,0,apartment,15,16.176470588235293,68,68,0,0,0,0,0,0,0,1,0,1,autonomous_central,natural_gas,Α+,1,0,0,0,1,1,2,0,0,1,1,37.9846422,23.7624506,1400,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VKPNTV3H53KVAJ04PJ8GX,2,2,0,0,4,0,0,maisonette,4,15.416666666666666,96,96,0,0,0,0,0,0,0,0,0,0,autonomous_central,,Α,1,0,0,1,0,0,1,0,0,2,2,37.98530700000001,23.712509,1150,1.5,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VP17MTPXHD50ZE3HBFPAW,2,2,0,0,4,0,0,apartment,8,17.045454545454547,88,88,0,0,0,0,0,0,0,1,0,0,autonomous_individual,,Α+,1,0,0,1,1,0,2,0,0,1,1,37.991419,23.7566113,1300,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
